GO:0000005	obsolete ribosomal chaperone activity
GO:0000309	nicotinamide-nucleotide adenylyltransferase activity
GO:0000310	xanthine phosphoribosyltransferase activity
GO:0000319	sulfite transmembrane transporter activity
GO:0000332	template for synthesis of G-rich strand of telomere DNA activity
GO:0000334	3-hydroxyanthranilate 3,4-dioxygenase activity
GO:0000339	RNA cap binding
GO:0000340	RNA 7-methylguanosine cap binding
GO:0000341	RNA trimethylguanosine cap binding
GO:0000342	RNA cap 4 binding
GO:0000362	obsolete first U2-type spliceosomal transesterification activity
GO:0000363	obsolete first U12-type spliceosomal transesterification activity
GO:0000364	obsolete second U2-type spliceosomal transesterification activity
GO:0000367	obsolete second U12-type spliceosomal transesterification activity
GO:0000384	first spliceosomal transesterification activity
GO:0000386	second spliceosomal transesterification activity
GO:0000400	four-way junction DNA binding
GO:0000401	open form four-way junction DNA binding
GO:0000402	crossed form four-way junction DNA binding
GO:0000403	Y-form DNA binding
GO:0000404	heteroduplex DNA loop binding
GO:0000405	bubble DNA binding
GO:0000406	double-strand/single-strand DNA junction binding
GO:0000496	base pairing
GO:0000497	base pairing with DNA
GO:0000498	base pairing with RNA
GO:0000499	base pairing with mRNA
GO:0000700	mismatch base pair DNA N-glycosylase activity
GO:0000701	purine-specific mismatch base pair DNA N-glycosylase activity
GO:0000702	oxidized base lesion DNA N-glycosylase activity
GO:0000703	oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity
GO:0000704	pyrimidine dimer DNA N-glycosylase activity
GO:0000721	(R,R)-butanediol dehydrogenase activity
GO:0000739	obsolete DNA strand annealing activity
GO:0000772	mating pheromone activity
GO:0000773	phosphatidyl-N-methylethanolamine N-methyltransferase activity
GO:0000774	adenyl-nucleotide exchange factor activity
GO:0000810	diacylglycerol diphosphate phosphatase activity
GO:0000822	inositol hexakisphosphate binding
GO:0000823	inositol-1,4,5-trisphosphate 6-kinase activity
GO:0000824	inositol tetrakisphosphate 3-kinase activity
GO:0000825	inositol tetrakisphosphate 6-kinase activity
GO:0000826	obsolete inositol pyrophosphate synthase activity
GO:0000827	inositol-1,3,4,5,6-pentakisphosphate kinase activity
GO:0000828	inositol hexakisphosphate kinase activity
GO:0000829	inositol heptakisphosphate kinase activity
GO:0000830	inositol hexakisphosphate 4-kinase activity
GO:0000831	inositol hexakisphosphate 6-kinase activity
GO:0000832	inositol hexakisphosphate 5-kinase activity
GO:0000833	inositol heptakisphosphate 4-kinase activity
GO:0000834	inositol heptakisphosphate 6-kinase activity
GO:0000900	translation repressor activity, mRNA regulatory element binding
GO:0000901	translation repressor activity, non-nucleic acid binding
GO:0000906	6,7-dimethyl-8-ribityllumazine synthase activity
GO:0000907	sulfonate dioxygenase activity
GO:0000908	taurine dioxygenase activity
GO:0000944	base pairing with rRNA
GO:0000945	base pairing with snRNA
GO:0000946	base pairing with tRNA
GO:0000976	transcription regulatory region sequence-specific DNA binding
GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding
GO:0000978	RNA polymerase II proximal promoter sequence-specific DNA binding
GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding
GO:0000980	RNA polymerase II distal enhancer sequence-specific DNA binding
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific
GO:0000982	transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding
GO:0000983	transcription factor activity, RNA polymerase II core promoter sequence-specific DNA binding
GO:0000984	bacterial-type RNA polymerase regulatory region sequence-specific DNA binding
GO:0000985	bacterial-type RNA polymerase core promoter sequence-specific DNA binding
GO:0000986	bacterial-type proximal promoter sequence-specific DNA binding
GO:0000987	proximal promoter sequence-specific DNA binding
GO:0000988	obsolete transcription factor activity, protein binding
GO:0000989	obsolete transcription factor activity, transcription factor binding
GO:0000990	obsolete transcription factor activity, core RNA polymerase binding
GO:0000991	obsolete transcription factor activity, core RNA polymerase II binding
GO:0000992	polymerase III regulatory region sequence-specific DNA binding
GO:0000993	RNA polymerase II complex binding
GO:0000994	RNA polymerase III core binding
GO:0000995	RNA polymerase III general transcription initiation factor activity
GO:0001000	bacterial-type RNA polymerase core enzyme binding
GO:0001001	mitochondrial single-subunit type RNA polymerase binding
GO:0001002	RNA polymerase III type 1 promoter sequence-specific DNA binding
GO:0001003	RNA polymerase III type 2 promoter sequence-specific DNA binding
GO:0001004	RNA polymerase III transcription regulator recruiting activity
GO:0001006	RNA polymerase III type 3 promoter sequence-specific DNA binding
GO:0001007	obsolete transcription factor activity, RNA polymerase III transcription factor binding
GO:0001010	RNA polymerase II sequence-specific DNA-binding transcription factor recruiting activity
GO:0001011	transcription factor activity, sequence-specific DNA binding, RNA polymerase recruiting
GO:0001012	RNA polymerase II regulatory region DNA binding
GO:0001013	RNA polymerase I regulatory region DNA binding
GO:0001016	RNA polymerase III regulatory region DNA binding
GO:0001017	bacterial-type RNA polymerase regulatory region DNA binding
GO:0001018	mitochondrial promoter sequence-specific DNA binding
GO:0001019	plastid RNA polymerase regulatory region DNA binding
GO:0001025	RNA polymerase III transcription factor binding
GO:0001026	obsolete TFIIIB-type transcription factor activity
GO:0001027	obsolete RNA polymerase III type 1 promoter TFIIIB-type transcription factor activity
GO:0001028	obsolete RNA polymerase III type 2 promoter TFIIIB-type transcription factor activity
GO:0001029	obsolete RNA polymerase III type 3 promoter TFIIIB-type transcription factor activity
GO:0001030	RNA polymerase III type 1 promoter DNA binding
GO:0001031	RNA polymerase III type 2 promoter DNA binding
GO:0001032	RNA polymerase III type 3 promoter DNA binding
GO:0001037	RNA polymerase III hybrid type promoter DNA binding
GO:0001039	RNA polymerase III hybrid type promoter sequence-specific DNA binding
GO:0001040	obsolete RNA polymerase III hybrid type promoter TFIIIB-type transcription factor activity
GO:0001042	RNA polymerase I core binding
GO:0001046	core promoter sequence-specific DNA binding
GO:0001047	core promoter binding
GO:0001048	RNA polymerase IV core binding
GO:0001049	RNA polymerase V core binding
GO:0001050	single-subunit type RNA polymerase binding
GO:0001051	plastid single-subunit type RNA polymerase binding
GO:0001052	plastid PEP RNA polymerase core enzyme binding
GO:0001054	RNA polymerase I activity
GO:0001055	RNA polymerase II activity
GO:0001056	RNA polymerase III activity
GO:0001057	RNA polymerase IV activity
GO:0001058	RNA polymerase V activity
GO:0001061	bacterial-type RNA polymerase activity
GO:0001062	plastid PEP-A RNA polymerase activity
GO:0001063	plastid PEP-B RNA polymerase activity
GO:0001064	single subunit type RNA polymerase activity
GO:0001065	mitochondrial single subunit type RNA polymerase activity
GO:0001066	plastid single subunit type RNA polymerase activity
GO:0001067	regulatory region nucleic acid binding
GO:0001068	transcription regulatory region RNA binding
GO:0001069	regulatory region RNA binding
GO:0001070	RNA-binding transcription regulator activity
GO:0001072	transcription antitermination factor activity, RNA binding
GO:0001073	transcription antitermination factor activity, DNA binding
GO:0001074	transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding involved in preinitiation complex assembly
GO:0001075	transcription factor activity, RNA polymerase II core promoter sequence-specific binding involved in preinitiation complex assembly
GO:0001076	obsolete transcription factor activity, RNA polymerase II transcription factor binding
GO:0001077	proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific
GO:0001078	proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific
GO:0001082	obsolete transcription factor activity, RNA polymerase I transcription factor binding
GO:0001083	obsolete transcription factor activity, RNA polymerase II basal transcription factor binding
GO:0001084	obsolete transcription factor activity, TFIID-class binding
GO:0001085	RNA polymerase II transcription factor binding
GO:0001086	obsolete transcription factor activity, TFIIA-class binding
GO:0001087	obsolete transcription factor activity, TFIIB-class binding
GO:0001088	obsolete transcription factor activity, TFIIE-class binding
GO:0001089	obsolete transcription factor activity, TFIIF-class transcription factor binding
GO:0001090	obsolete transcription factor activity, TFIIH-class binding
GO:0001091	RNA polymerase II basal transcription factor binding
GO:0001092	TFIIA-class transcription factor complex binding
GO:0001093	TFIIB-class transcription factor binding
GO:0001094	TFIID-class transcription factor complex binding
GO:0001095	TFIIE-class transcription factor complex binding
GO:0001096	TFIIF-class transcription factor complex binding
GO:0001097	TFIIH-class transcription factor complex binding
GO:0001098	basal transcription machinery binding
GO:0001099	basal RNA polymerase II transcription machinery binding
GO:0001102	RNA polymerase II activating transcription factor binding
GO:0001103	RNA polymerase II repressing transcription factor binding
GO:0001108	bacterial-type RNA polymerase holo enzyme binding
GO:0001128	RNA polymerase II transcription coactivator activity involved in preinitiation complex assembly
GO:0001129	obsolete RNA polymerase II transcription factor activity, TBP-class protein binding, involved in preinitiation complex assembly
GO:0001130	bacterial-type RNA polymerase transcription factor activity, sequence-specific DNA binding
GO:0001131	transcription factor activity, bacterial-type RNA polymerase proximal promoter sequence-specific DNA binding
GO:0001132	obsolete RNA polymerase II transcription factor activity, TBP-class protein binding
GO:0001134	transcription regulator recruiting activity
GO:0001135	RNA polymerase II transcription regulator recruiting activity
GO:0001139	RNA polymerase II complex recruiting activity
GO:0001140	transcriptional activator activity, bacterial-type RNA polymerase proximal promoter sequence-specific DNA binding
GO:0001141	transcriptional repressor activity, bacterial-type RNA polymerase proximal promoter sequence-specific DNA binding
GO:0001145	mitochondrial RNA polymerase termination site sequence-specific DNA binding
GO:0001147	transcription termination site sequence-specific DNA binding
GO:0001148	bacterial-type RNA polymerase termination site sequence-specific DNA binding
GO:0001149	transcription factor activity, bacterial-type RNA polymerase termination site sequence-specific binding
GO:0001150	bacterial-type RNA polymerase enhancer sequence-specific DNA binding
GO:0001151	transcription factor activity, bacterial-type RNA polymerase transcription enhancer sequence-specific binding
GO:0001152	obsolete transcription factor activity, RNA polymerase III type 1 promoter sequence-specific binding, TFIIIC recruiting
GO:0001153	obsolete transcription factor activity, RNA polymerase III transcription factor recruiting
GO:0001154	TFIIIB-class transcription factor complex binding
GO:0001155	TFIIIA-class transcription factor binding
GO:0001156	TFIIIC-class transcription factor complex binding
GO:0001158	enhancer sequence-specific DNA binding
GO:0001160	transcription termination site DNA binding
GO:0001161	intronic transcription regulatory region sequence-specific DNA binding
GO:0001162	RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding
GO:0001163	RNA polymerase I regulatory region sequence-specific DNA binding
GO:0001164	RNA polymerase I CORE element sequence-specific DNA binding
GO:0001165	RNA polymerase I upstream control element sequence-specific DNA binding
GO:0001166	RNA polymerase I enhancer sequence-specific DNA binding
GO:0001167	obsolete RNA polymerase I transcription factor activity, sequence-specific DNA binding
GO:0001168	obsolete transcription factor activity, RNA polymerase I upstream control element sequence-specific binding
GO:0001169	obsolete transcription factor activity, RNA polymerase I CORE element sequence-specific binding
GO:0001170	obsolete transcription factor activity, RNA polymerase I enhancer sequence-specific binding
GO:0001179	RNA polymerase I transcription factor binding
GO:0001181	RNA polymerase I general transcription initiation factor activity
GO:0001186	RNA polymerase I transcription regulator recruiting activity
GO:0001190	obsolete transcriptional activator activity, RNA polymerase II transcription factor binding
GO:0001191	obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding
GO:0001199	transcription factor activity, metal ion regulated sequence-specific DNA binding
GO:0001200	RNA polymerase II transcription factor activity, metal ion regulated sequence-specific DNA binding
GO:0001201	RNA polymerase II transcription factor activity, metal ion regulated proximal promoter sequence-specific DNA binding
GO:0001202	RNA polymerase II transcription factor activity, copper ion regulated proximal promoter sequence-specific DNA binding
GO:0001203	RNA polymerase II transcription factor activity, zinc ion regulated proximal promoter sequence-specific DNA binding
GO:0001204	bacterial-type RNA polymerase transcription factor activity, metal ion regulated sequence-specific DNA binding
GO:0001205	distal enhancer DNA-binding transcription activator activity, RNA polymerase II-specific
GO:0001206	distal enhancer DNA-binding transcription repressor activity, RNA polymerase II-specific
GO:0001209	transcriptional activator activity, metal ion regulated sequence-specific DNA binding
GO:0001210	transcriptional repressor activity, metal ion regulated sequence-specific DNA binding
GO:0001211	RNA polymerase II transcriptional activator activity, copper ion regulated proximal promoter sequence-specific DNA binding
GO:0001212	RNA polymerase II transcriptional activator activity, zinc ion regulated proximal promoter sequence-specific DNA binding
GO:0001213	RNA polymerase II transcriptional activator activity, metal ion regulated proximal promoter sequence-specific DNA binding
GO:0001214	RNA polymerase II transcriptional repressor activity, metal ion regulated proximal promoter sequence-specific DNA binding
GO:0001215	bacterial-type RNA polymerase transcriptional activator activity, metal ion regulated sequence-specific DNA binding
GO:0001216	bacterial-type RNA polymerase transcriptional activator activity, sequence-specific DNA binding
GO:0001217	bacterial-type RNA polymerase transcriptional repressor activity, sequence-specific DNA binding
GO:0001218	bacterial-type RNA polymerase transcriptional repressor activity, metal ion regulated sequence-specific DNA binding
GO:0001219	bacterial-type RNA polymerase transcriptional repressor activity, copper ion regulated sequence-specific DNA binding
GO:0001220	bacterial-type RNA polymerase transcriptional repressor activity, cadmium ion regulated sequence-specific DNA binding
GO:0001221	transcription cofactor binding
GO:0001222	transcription corepressor binding
GO:0001223	transcription coactivator binding
GO:0001224	RNA polymerase II transcription cofactor binding
GO:0001225	RNA polymerase II transcription coactivator binding
GO:0001226	RNA polymerase II transcription corepressor binding
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific
GO:0001406	glycerophosphodiester transmembrane transporter activity
GO:0001409	guanine nucleotide transmembrane transporter activity
GO:0001509	obsolete legumain activity
GO:0001511	obsolete fibrillin
GO:0001512	dihydronicotinamide riboside quinone reductase activity
GO:0001515	opioid peptide activity
GO:0001517	N-acetylglucosamine 6-O-sulfotransferase activity
GO:0001524	obsolete globin
GO:0001528	obsolete elastin
GO:0001530	lipopolysaccharide binding
GO:0001531	interleukin-21 receptor binding
GO:0001532	interleukin-21 receptor activity
GO:0001537	N-acetylgalactosamine 4-O-sulfotransferase activity
GO:0001540	amyloid-beta binding
GO:0001565	phorbol ester receptor activity
GO:0001566	non-kinase phorbol ester receptor activity
GO:0001567	cholesterol 25-hydroxylase activity
GO:0001571	non-tyrosine kinase fibroblast growth factor receptor activity
GO:0001577	obsolete galectin
GO:0001584	obsolete rhodopsin-like receptor activity
GO:0001586	Gi/o-coupled serotonin receptor activity
GO:0001587	Gq/11-coupled serotonin receptor activity
GO:0001588	dopamine neurotransmitter receptor activity, coupled via Gs
GO:0001591	dopamine neurotransmitter receptor activity, coupled via Gi/Go
GO:0001594	trace-amine receptor activity
GO:0001595	angiotensin receptor activity
GO:0001596	angiotensin type I receptor activity
GO:0001597	obsolete apelin-like receptor
GO:0001598	obsolete chemokine receptor-like receptor activity
GO:0001601	peptide YY receptor activity
GO:0001602	pancreatic polypeptide receptor activity
GO:0001603	obsolete vasopressin-like receptor activity
GO:0001604	urotensin II receptor activity
GO:0001605	adrenomedullin receptor activity
GO:0001606	obsolete GPR37/endothelin B-like receptor activity
GO:0001607	neuromedin U receptor activity
GO:0001608	G-protein coupled nucleotide receptor activity
GO:0001609	G-protein coupled adenosine receptor activity
GO:0001614	purinergic nucleotide receptor activity
GO:0001615	obsolete thyrotropin releasing hormone and secretagogue-like receptors activity
GO:0001616	growth hormone secretagogue receptor activity
GO:0001617	obsolete growth hormone secretagogue-like receptor activity
GO:0001618	virus receptor activity
GO:0001619	obsolete lysosphingolipid and lysophosphatidic acid receptor activity
GO:0001621	ADP receptor activity
GO:0001626	nociceptin receptor activity
GO:0001627	obsolete leucine-rich G-protein receptor-like receptor activity
GO:0001628	obsolete gastropyloric receptor activity
GO:0001629	obsolete G-protein receptor 45-like receptor activity
GO:0001630	obsolete GP40-like receptor activity
GO:0001631	cysteinyl leukotriene receptor activity
GO:0001632	leukotriene B4 receptor activity
GO:0001633	obsolete secretin-like receptor activity
GO:0001634	pituitary adenylate cyclase-activating polypeptide receptor activity
GO:0001635	calcitonin gene-related peptide receptor activity
GO:0001636	obsolete corticotrophin-releasing factor gastric inhibitory peptide-like receptor activity
GO:0001637	G-protein coupled chemoattractant receptor activity
GO:0001639	PLC activating G-protein coupled glutamate receptor activity
GO:0001640	adenylate cyclase inhibiting G-protein coupled glutamate receptor activity
GO:0001641	group II metabotropic glutamate receptor activity
GO:0001642	group III metabotropic glutamate receptor activity
GO:0001646	cAMP receptor activity
GO:0001647	G-protein coupled cytokinin receptor activity
GO:0001648	proteinase activated receptor activity
GO:0001653	peptide receptor activity
GO:0001664	G-protein coupled receptor binding
GO:0001665	alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity
GO:0001671	ATPase activator activity
GO:0001681	sialate O-acetylesterase activity
GO:0001691	pseudophosphatase activity
GO:0001716	L-amino-acid oxidase activity
GO:0001727	lipid kinase activity
GO:0001729	ceramide kinase activity
GO:0001730	2'-5'-oligoadenylate synthetase activity
GO:0001733	galactosylceramide sulfotransferase activity
GO:0001734	mRNA (N6-adenosine)-methyltransferase activity
GO:0001735	prenylcysteine oxidase activity
GO:0001758	retinal dehydrogenase activity
GO:0001760	aminocarboxymuconate-semialdehyde decarboxylase activity
GO:0001761	beta-alanine transmembrane transporter activity
GO:0001784	phosphotyrosine residue binding
GO:0001785	prostaglandin J receptor activity
GO:0001786	phosphatidylserine binding
GO:0001790	polymeric immunoglobulin binding
GO:0001791	IgM binding
GO:0001792	polymeric immunoglobulin receptor activity
GO:0001793	IgM receptor activity
GO:0001846	opsonin binding
GO:0001847	opsonin receptor activity
GO:0001848	complement binding
GO:0001849	complement component C1q binding
GO:0001850	complement component C3a binding
GO:0001851	complement component C3b binding
GO:0001852	complement component iC3b binding
GO:0001853	complement component C3dg binding
GO:0001854	complement component C3d binding
GO:0001855	complement component C4b binding
GO:0001856	complement component C5a binding
GO:0001857	complement component C1q receptor activity
GO:0001858	complement component iC3b receptor activity
GO:0001859	complement component C3dg receptor activity
GO:0001860	complement component C3d receptor activity
GO:0001861	complement component C4b receptor activity
GO:0001862	collectin binding
GO:0001863	collectin receptor activity
GO:0001864	pentraxin binding
GO:0001871	pattern binding
GO:0001872	(1->3)-beta-D-glucan binding
GO:0001873	polysaccharide receptor activity
GO:0001874	(1->3)-beta-D-glucan receptor activity
GO:0001875	lipopolysaccharide receptor activity
GO:0001876	lipoarabinomannan binding
GO:0001877	lipoarabinomannan receptor activity
GO:0001882	nucleoside binding
GO:0001883	purine nucleoside binding
GO:0001884	pyrimidine nucleoside binding
GO:0001888	glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity
GO:0001918	farnesylated protein binding
GO:0001962	alpha-1,3-galactosyltransferase activity
GO:0001965	G-protein alpha-subunit binding
GO:0001968	fibronectin binding
GO:0001972	retinoic acid binding
GO:0002020	protease binding
GO:0002039	p53 binding
GO:0002046	opsin binding
GO:0002054	nucleobase binding
GO:0002055	adenine binding
GO:0002056	cytosine binding
GO:0002057	guanine binding
GO:0002058	uracil binding
GO:0002059	thymine binding
GO:0002060	purine nucleobase binding
GO:0002061	pyrimidine nucleobase binding
GO:0002083	4-hydroxybenzoate decaprenyltransferase activity
GO:0002094	polyprenyltransferase activity
GO:0002112	interleukin-33 receptor binding
GO:0002113	interleukin-33 binding
GO:0002114	interleukin-33 receptor activity
GO:0002134	UTP binding
GO:0002135	CTP binding
GO:0002145	4-amino-5-hydroxymethyl-2-methylpyrimidine diphosphatase activity
GO:0002151	G-quadruplex RNA binding
GO:0002153	steroid receptor RNA activator RNA binding
GO:0002161	aminoacyl-tRNA editing activity
GO:0002162	dystroglycan binding
GO:0002170	high-affinity IgA receptor activity
GO:0002171	low-affinity IgA receptor activity
GO:0002172	high-affinity IgM receptor activity
GO:0002173	low-affinity IgM receptor activity
GO:0002196	Ser-tRNA(Ala) hydrolase activity
GO:0002935	tRNA (adenine-C2-)-methyltransferase activity
GO:0002948	archaeosine synthase activity
GO:0002950	ceramide phosphoethanolamine synthase activity
GO:0002951	leukotriene-C(4) hydrolase
GO:0002952	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase activity
GO:0002953	5'-deoxynucleotidase activity
GO:0003674	F
GO:0003676	nucleic acid binding
GO:0003677	DNA binding
GO:0003678	DNA helicase activity
GO:0003680	AT DNA binding
GO:0003681	bent DNA binding
GO:0003682	chromatin binding
GO:0003683	obsolete lamin/chromatin binding
GO:0003684	damaged DNA binding
GO:0003685	obsolete DNA repair protein
GO:0003686	obsolete DNA repair enzyme
GO:0003687	obsolete DNA replication factor
GO:0003688	DNA replication origin binding
GO:0003689	DNA clamp loader activity
GO:0003690	double-stranded DNA binding
GO:0003691	double-stranded telomeric DNA binding
GO:0003692	left-handed Z-DNA binding
GO:0003693	P-element binding
GO:0003694	obsolete plasmid binding
GO:0003695	random coil DNA binding
GO:0003696	satellite DNA binding
GO:0003697	single-stranded DNA binding
GO:0003700	DNA-binding transcription factor activity
GO:0003701	obsolete RNA polymerase I transcription factor activity
GO:0003702	obsolete RNA polymerase II transcription factor activity
GO:0003704	obsolete specific RNA polymerase II transcription factor activity
GO:0003705	transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding
GO:0003706	obsolete ligand-regulated transcription factor activity
GO:0003707	steroid hormone receptor activity
GO:0003708	retinoic acid receptor activity
GO:0003709	obsolete RNA polymerase III transcription factor activity
GO:0003711	transcription elongation regulator activity
GO:0003712	transcription coregulator activity
GO:0003713	transcription coactivator activity
GO:0003714	transcription corepressor activity
GO:0003715	obsolete transcription termination factor activity
GO:0003716	obsolete RNA polymerase I transcription termination factor activity
GO:0003717	obsolete RNA polymerase II transcription termination factor activity
GO:0003718	obsolete RNA polymerase III transcription termination factor activity
GO:0003719	obsolete transcription factor binding, cytoplasmic sequestering
GO:0003720	telomerase activity
GO:0003721	telomerase RNA reverse transcriptase activity
GO:0003723	RNA binding
GO:0003724	RNA helicase activity
GO:0003725	double-stranded RNA binding
GO:0003726	double-stranded RNA adenosine deaminase activity
GO:0003727	single-stranded RNA binding
GO:0003729	mRNA binding
GO:0003730	mRNA 3'-UTR binding
GO:0003731	obsolete mRNA cap binding
GO:0003732	obsolete snRNA cap binding
GO:0003733	obsolete ribonucleoprotein
GO:0003734	obsolete small nuclear ribonucleoprotein
GO:0003735	structural constituent of ribosome
GO:0003743	translation initiation factor activity
GO:0003746	translation elongation factor activity
GO:0003747	translation release factor activity
GO:0003750	obsolete cell cycle regulator
GO:0003754	obsolete chaperone activity
GO:0003755	peptidyl-prolyl cis-trans isomerase activity
GO:0003756	protein disulfide isomerase activity
GO:0003759	obsolete glycoprotein-specific chaperone activity
GO:0003762	obsolete histone-specific chaperone activity
GO:0003763	obsolete chaperonin ATPase activity
GO:0003767	obsolete co-chaperone activity
GO:0003772	obsolete co-chaperonin activity
GO:0003773	obsolete heat shock protein activity
GO:0003774	motor activity
GO:0003775	obsolete axonemal motor activity
GO:0003776	obsolete muscle motor activity
GO:0003777	microtubule motor activity
GO:0003778	obsolete dynactin motor
GO:0003779	actin binding
GO:0003780	obsolete actin cross-linking activity
GO:0003781	obsolete actin bundling activity
GO:0003782	obsolete F-actin capping activity
GO:0003783	obsolete barbed-end actin capping activity
GO:0003784	obsolete barbed-end actin capping/severing activity
GO:0003785	actin monomer binding
GO:0003786	actin lateral binding
GO:0003787	obsolete actin depolymerizing activity
GO:0003788	obsolete actin monomer sequestering activity
GO:0003789	obsolete actin filament severing activity
GO:0003790	obsolete actin modulating activity
GO:0003791	obsolete membrane associated actin binding
GO:0003792	obsolete regulation of actin thin filament length activity
GO:0003793	obsolete defense/immunity protein activity
GO:0003794	obsolete acute-phase response protein activity
GO:0003795	obsolete antimicrobial peptide activity
GO:0003796	lysozyme activity
GO:0003797	obsolete antibacterial peptide activity
GO:0003798	obsolete male-specific antibacterial peptide activity
GO:0003799	obsolete antifungal peptide activity
GO:0003800	obsolete antiviral response protein activity
GO:0003801	obsolete blood coagulation factor activity
GO:0003802	obsolete coagulation factor VIIa activity
GO:0003803	obsolete coagulation factor IXa activity
GO:0003804	obsolete coagulation factor Xa activity
GO:0003805	obsolete coagulation factor XIa activity
GO:0003806	obsolete coagulation factor XIIa activity
GO:0003807	obsolete plasma kallikrein activity
GO:0003808	obsolete protein C (activated) activity
GO:0003809	obsolete thrombin activity
GO:0003810	protein-glutamine gamma-glutamyltransferase activity
GO:0003811	obsolete complement activity
GO:0003812	obsolete alternative-complement-pathway C3/C5 convertase activity
GO:0003813	obsolete classical-complement-pathway C3/C5 convertase activity
GO:0003815	obsolete complement component C1r activity
GO:0003816	obsolete complement component C1s activity
